id,mean,2.50%,50%,97.50%,n_na,temp
962,10.85432987,10.63241266,10.85489841,11.07766412,0,26.61
963,10.84571812,10.62438447,10.84578307,11.06854803,0,26.62
964,10.83626382,10.6155903,10.83663815,11.05905002,0,26.63
965,10.82724667,10.60616275,10.82754276,11.05029828,0,26.64
966,10.81853243,10.59695913,10.81845283,11.04119698,0,26.65
967,10.80989593,10.58841912,10.80954171,11.03206631,0,26.66
968,10.80016582,10.57880472,10.80039186,11.02322657,0,26.67
969,10.79134604,10.56977872,10.79143102,11.01418733,0,26.68
970,10.78284035,10.56104016,10.78243368,11.00541952,0,26.69
971,10.77398025,10.5529196,10.77344467,10.99638979,0,26.7
972,10.76488581,10.54346116,10.76437553,10.98750618,0,26.71
973,10.75570975,10.53406436,10.75536584,10.97837619,0,26.72
974,10.74701029,10.52531241,10.74634148,10.96939314,0,26.73
975,10.737773,10.51665429,10.7373928,10.960446,0,26.74
976,10.72888739,10.50822602,10.72851991,10.95187086,0,26.75
977,10.72032246,10.49942555,10.71953142,10.94270622,0,26.76
978,10.71155598,10.49128993,10.71079867,10.93384066,0,26.77
979,10.70233155,10.48215568,10.70179087,10.92522119,0,26.78
980,10.69388186,10.47403687,10.6931834,10.91651595,0,26.79
981,10.68501208,10.46528863,10.68432694,10.9078597,0,26.8
982,10.6762389,10.45685749,10.67534884,10.89914242,0,26.81
983,10.66738322,10.44781472,10.66650425,10.89048681,0,26.82
984,10.65874922,10.43928422,10.65767003,10.8818393,0,26.83
985,10.64996182,10.43086586,10.64887446,10.87371064,0,26.84
986,10.64129089,10.42252553,10.64018098,10.86525021,0,26.85
987,10.63250415,10.4137776,10.63160406,10.85645284,0,26.86
988,10.62383971,10.40466351,10.622834,10.8479925,0,26.87
989,10.61518171,10.39559995,10.61413013,10.83929676,0,26.88
990,10.60659076,10.3873589,10.60546171,10.83103055,0,26.89
991,10.59788793,10.3782264,10.59693488,10.82188133,0,26.9
992,10.5893492,10.36965593,10.58823464,10.8132848,0,26.91
993,10.58075561,10.36097584,10.57970238,10.80472595,0,26.92
994,10.5721233,10.35192758,10.5711348,10.7963648,0,26.93
995,10.5636229,10.34350639,10.56265741,10.78792943,0,26.94
996,10.55508383,10.33481472,10.55411477,10.77936585,0,26.95
997,10.54656296,10.32620386,10.54553721,10.77104565,0,26.96
998,10.53803529,10.31772257,10.53701349,10.76244213,0,26.97
999,10.52957596,10.30938145,10.52861211,10.75395322,0,26.98
1000,10.52110987,10.30109108,10.52018852,10.74574119,0,26.99
1001,10.51266209,10.29274933,10.51177634,10.7371468,0,27
1002,10.50423271,10.28442401,10.50319616,10.72850757,0,27.01
1003,10.49582154,10.27574389,10.49477335,10.7200065,0,27.02
1004,10.48742864,10.26748585,10.48643876,10.71185437,0,27.03
1005,10.47905454,10.25895432,10.47798447,10.70336749,0,27.04
1006,10.47069869,10.25079106,10.46991747,10.69564095,0,27.05
1007,10.46236131,10.24245089,10.46156586,10.68715763,0,27.06
1008,10.45404257,10.23401237,10.45311429,10.6788702,0,27.07
1009,10.44574156,10.22581257,10.44482124,10.67060711,0,27.08
1010,10.43746033,10.2175837,10.43655517,10.66222339,0,27.09
1011,10.42919731,10.209343,10.42847977,10.65385064,0,27.1
1012,10.42095249,10.20105753,10.42026256,10.64593614,0,27.11
1013,10.41272691,10.19252993,10.41191394,10.63756355,0,27.12
1014,10.40451985,10.18423402,10.40373483,10.62880372,0,27.13
1015,10.39633127,10.1761707,10.39550516,10.62060071,0,27.14
1016,10.38816168,10.16774029,10.38720005,10.61258182,0,27.15
1017,10.38001057,10.15965433,10.37906221,10.60486791,0,27.16
1018,10.37187819,10.15163573,10.37089655,10.59715568,0,27.17
1019,10.36376572,10.14363741,10.36295542,10.58897645,0,27.18
1020,10.35567138,10.13565656,10.35497862,10.58079337,0,27.19
1021,10.34759655,10.12763406,10.34670862,10.57271544,0,27.2
1022,10.33954064,10.1194359,10.33864014,10.56469456,0,27.21
1023,10.33150338,10.11103535,10.33072704,10.5569183,0,27.22
1024,10.32348532,10.102459,10.32263133,10.54924007,0,27.23
1025,10.31548659,10.09417337,10.31456869,10.5416887,0,27.24
1026,10.30750777,10.08616331,10.30646713,10.53427189,0,27.25
1027,10.29954627,10.07819689,10.29840748,10.52678857,0,27.26
1028,10.29160628,10.07025174,10.29045339,10.51861737,0,27.27
1029,10.28368471,10.06231941,10.28248723,10.51036903,0,27.28
1030,10.27578281,10.05444783,10.27438639,10.50265357,0,27.29
1031,10.26790024,10.04614961,10.26649806,10.49549594,0,27.3
1032,10.26003728,10.03818056,10.25869625,10.48814275,0,27.31
1033,10.25219393,10.03053341,10.25095412,10.48075007,0,27.32
1034,10.24436977,10.02281009,10.24319361,10.47331945,0,27.33
1035,10.23656638,10.01498809,10.23530516,10.46552516,0,27.34
1036,10.22878132,10.00724542,10.22732495,10.45794721,0,27.35
1037,10.22101712,9.999211473,10.2195399,10.45049757,0,27.36
1038,10.21327213,9.990867234,10.21181257,10.44347164,0,27.37
1039,10.20554821,9.982852919,10.2042091,10.43602988,0,27.38
1040,10.19784368,9.975238151,10.19659726,10.42872915,0,27.39
1041,10.19015836,9.967151258,10.18866521,10.42060252,0,27.4
1042,10.18249424,9.959380404,10.1809886,10.41280918,0,27.41
1043,10.17485066,9.951478615,10.17326977,10.40579807,0,27.42
1044,10.16722674,9.943768237,10.16557116,10.39850443,0,27.43
1045,10.15962363,9.935639632,10.15790246,10.39140304,0,27.44
1046,10.15204006,9.927353316,10.15041676,10.38368331,0,27.45
1047,10.14447804,9.919876793,10.14286822,10.37616243,0,27.46
1048,10.13693554,9.912059196,10.13528699,10.3688254,0,27.47
1049,10.12941429,9.904467614,10.12773498,10.36156288,0,27.48
1050,10.12191491,9.896348411,10.12032989,10.35481716,0,27.49
1051,10.11443508,9.888382148,10.11276957,10.34704002,0,27.5
1052,10.1069765,9.880403432,10.10534632,10.33946578,0,27.51
1053,10.09953847,9.872442373,10.09778165,10.33163979,0,27.52
1054,10.09212203,9.864703421,10.09045705,10.32471131,0,27.53
1055,10.08472657,9.85650651,10.08305557,10.31797642,0,27.54
1056,10.07735124,9.848876679,10.07588072,10.311209,0,27.55
1057,10.06999927,9.840999235,10.06850421,10.30385827,0,27.56
1058,10.06266774,9.833476904,10.06118091,10.2969699,0,27.57
1059,10.05535828,9.825582667,10.05384831,10.2899617,0,27.58
1060,10.04807007,9.818307401,10.04663954,10.28285923,0,27.59
1061,10.04080353,9.810522248,10.03933207,10.27585119,0,27.6
1062,10.03355876,9.802600488,10.0320444,10.26901471,0,27.61
1063,10.02633548,9.794745376,10.02481311,10.26174641,0,27.62
1064,10.01913462,9.786664607,10.01758405,10.25519394,0,27.63
1065,10.0119563,9.779489047,10.01044474,10.24871692,0,27.64
1066,10.00479974,9.772403144,10.00334743,10.24196577,0,27.65
1067,9.997665437,9.764788897,9.996200866,10.234893,0,27.66
1068,9.990553675,9.757379787,9.989181909,10.2282708,0,27.67
1069,9.983464393,9.749963291,9.982287729,10.22169633,0,27.68
1070,9.976397567,9.742273712,9.975375714,10.21513862,0,27.69
1071,9.969353633,9.735033978,9.968227102,10.20824153,0,27.7
1072,9.962332483,9.727547587,9.961341023,10.20179079,0,27.71
1073,9.955333817,9.720445109,9.954306937,10.19536469,0,27.72
1074,9.948359531,9.713166595,9.947440904,10.18862761,0,27.73
1075,9.9414077,9.70618059,9.940582185,10.18144097,0,27.74
1076,9.934479017,9.698311407,9.933913676,10.17440978,0,27.75
1077,9.927574135,9.690669154,9.927141357,10.16806616,0,27.76
1078,9.920692578,9.683195914,9.920188484,10.1612748,0,27.77
1079,9.913834738,9.67618847,9.913373899,10.15471321,0,27.78
1080,9.90700071,9.668898,9.906538041,10.14851577,0,27.79
1081,9.900190406,9.661697301,9.899876516,10.14233239,0,27.8
1082,9.893404581,9.654342536,9.893219905,10.13593141,0,27.81
1083,9.886642751,9.647749328,9.886654342,10.12972714,0,27.82
1084,9.879905244,9.640715123,9.880191573,10.12273392,0,27.83
1085,9.873191872,9.633491244,9.873401511,10.11647403,0,27.84
1086,9.866503645,9.625848047,9.86687542,10.1103915,0,27.85
1087,9.859840105,9.619072191,9.86033791,10.10425031,0,27.86
1088,9.853201213,9.612173987,9.853685088,10.09769338,0,27.87
1089,9.846587395,9.605133056,9.847145715,10.09139623,0,27.88
1090,9.839998742,9.597862946,9.840476144,10.08555845,0,27.89
1091,9.833435349,9.590850417,9.833931299,10.07934717,0,27.9
1092,9.826897489,9.583925604,9.827148153,10.07387627,0,27.91
1093,9.820385188,9.576927461,9.820573413,10.06737897,0,27.92
1094,9.81389864,9.56978168,9.813844254,10.06178615,0,27.93
1095,9.807437993,9.562605849,9.807317301,10.05475961,0,27.94
1096,9.801003404,9.55564062,9.800772437,10.04900241,0,27.95
1097,9.794595027,9.548520303,9.794293006,10.04331501,0,27.96
1098,9.788213018,9.541853756,9.787904421,10.03708759,0,27.97
1099,9.781857544,9.535078694,9.781394325,10.03084118,0,27.98
1100,9.775528757,9.527553123,9.775068992,10.02470045,0,27.99
1101,9.769226827,9.520443278,9.768820557,10.01897359,0,28
1102,9.762951913,9.514004038,9.762449565,10.01318746,0,28.01
